,stabilizer.yaw,stateEstimate.vx,stateEstimate.vy,stateEstimate.vz,time,stateEstimate.x,stateEstimate.y,stateEstimate.z
0,90.05270385742188,0.025747310370206833,0.007233253214508295,0.00042303072405047715,18008,,,
1,,,,,18009,1.4188411235809326,3.000180244445801,0.23212219774723053
2,90.05415344238281,0.025935186073184013,0.005544634070247412,0.000512674159836024,18108,,,
3,,,,,18109,1.4188902378082275,2.9994192123413086,0.23296403884887695
4,90.04814910888672,0.02870318479835987,0.009655837900936604,0.0001256682153325528,18208,,,
5,,,,,18209,1.4200000762939453,2.9985899925231934,0.23302903771400452
6,89.42183685302734,0.03149326145648956,0.020306238904595375,-0.005097559187561274,18308,,,
7,,,,,18309,1.4209896326065063,3.001270055770874,0.23426446318626404
8,90.3480453491211,0.034791089594364166,0.052240729331970215,0.07887056469917297,18408,,,
9,,,,,18409,1.4236187934875488,3.0036935806274414,0.23704664409160614
10,91.44437408447266,0.024841194972395897,0.1638697236776352,0.19353701174259186,18508,,,
11,,,,,18509,1.4246931076049805,3.0099239349365234,0.2426392138004303
12,92.02435302734375,0.023461712524294853,0.21887770295143127,0.2539563477039337,18608,,,
13,,,,,18609,1.4230709075927734,3.029482841491699,0.2717427909374237
14,91.98896026611328,0.012959196232259274,0.24479372799396515,0.23777541518211365,18708,,,
15,,,,,18709,1.4185802936553955,3.0605530738830566,0.3057946562767029
16,91.87133026123047,-0.005902782082557678,0.2184191793203354,0.17083124816417694,18808,,,
17,,,,,18809,1.396081566810608,3.080254554748535,0.3173743188381195
18,91.69442749023438,-0.00821765698492527,0.1816158890724182,0.16166114807128906,18908,,,
19,,,,,18909,1.3818573951721191,3.106269121170044,0.35701078176498413
20,91.61043548583984,0.016115866601467133,0.14143963158130646,0.14788468182086945,19008,,,
21,,,,,19009,1.385216474533081,3.13250732421875,0.3950995206832886
22,91.55084228515625,0.040176164358854294,0.08700577169656754,0.13768230378627777,19108,,,
23,,,,,19109,1.3856384754180908,3.14613938331604,0.4218716025352478
24,91.623291015625,0.061308737844228745,0.02751998044550419,0.1360546350479126,19208,,,
25,,,,,19209,1.388781189918518,3.1465537548065186,0.437157541513443
26,91.76215362548828,0.06497868150472641,-0.0268503837287426,0.12227186560630798,19308,,,
27,,,,,19309,1.3849858045578003,3.133451461791992,0.43917587399482727
28,91.89276123046875,0.06474019587039948,-0.05697504058480263,0.11358680576086044,19408,,,
29,,,,,19409,1.3830136060714722,3.119654893875122,0.4465157687664032
30,91.91663360595703,0.07167332619428635,-0.0568561777472496,0.12000346928834915,19508,,,
31,,,,,19509,1.3915640115737915,3.1088833808898926,0.45799651741981506
32,91.9145278930664,0.08225637674331665,-0.043201178312301636,0.13313423097133636,19608,,,
33,,,,,19609,1.4057271480560303,3.0996391773223877,0.4792942404747009
34,91.87076568603516,0.0903429314494133,-0.020138848572969437,0.14335840940475464,19708,,,
35,,,,,19709,1.4202120304107666,3.0928661823272705,0.49679508805274963
36,91.76124572753906,0.09413003921508789,0.00043329826439730823,0.14548742771148682,19808,,,
37,,,,,19809,1.4384984970092773,3.0858986377716064,0.5105417370796204
38,91.62997436523438,0.08495631814002991,0.01940869726240635,0.12849944829940796,19908,,,
39,,,,,19909,1.452040195465088,3.081387519836426,0.5153961181640625
40,91.51853942871094,0.06511837244033813,0.03151223063468933,0.11266467720270157,20008,,,
41,,,,,20009,1.459299921989441,3.0767135620117188,0.5157036185264587
42,91.43270111083984,0.035264626145362854,0.039169516414403915,0.11632517725229263,20108,,,
43,,,,,20109,1.456941843032837,3.072638511657715,0.5145434737205505
44,91.38233184814453,0.01712200418114662,0.048932623118162155,0.13405337929725647,20208,,,
45,,,,,20209,1.4580665826797485,3.0749592781066895,0.523540198802948
46,91.3297348022461,0.006399504374712706,0.06393197923898697,0.1547718197107315,20308,,,
47,,,,,20309,1.4591732025146484,3.083800792694092,0.5422032475471497
48,91.2851333618164,0.005186340771615505,0.07229305803775787,0.15428327023983002,20408,,,
49,,,,,20409,1.4637953042984009,3.0943806171417236,0.5615975260734558
50,91.2972183227539,0.002940788399428129,0.07152045518159866,0.14339490234851837,20508,,,
51,,,,,20509,1.4633889198303223,3.103590965270996,0.5755724906921387
52,91.32316589355469,0.00023045972920954227,0.06260726600885391,0.13717444241046906,20608,,,
53,,,,,20609,1.4614241123199463,3.110537052154541,0.5875372290611267
54,91.36090087890625,0.0004612585762515664,0.05242094397544861,0.14411525428295135,20708,,,
55,,,,,20709,1.4600303173065186,3.1180453300476074,0.6014121174812317
56,91.33599853515625,0.0008550516795367002,0.04062609747052193,0.14219525456428528,20808,,,
57,,,,,20809,1.4567947387695312,3.1235077381134033,0.6198126673698425
58,91.24151611328125,0.0028860087040811777,0.02996465191245079,0.14162743091583252,20908,,,
59,,,,,20909,1.453805923461914,3.1274054050445557,0.6356245875358582
60,91.1198501586914,0.0063403574749827385,0.026159832254052162,0.12360287457704544,21008,,,
61,,,,,21009,1.456047773361206,3.1310994625091553,0.647364616394043
62,90.93968200683594,0.010595828294754028,0.018435383215546608,0.10890781879425049,21108,,,
63,,,,,21109,1.4524117708206177,3.1341118812561035,0.6502610445022583
64,90.69080352783203,0.007526883389800787,0.009247854351997375,0.09771255403757095,21208,,,
65,,,,,21209,1.4457851648330688,3.1321635246276855,0.6494528651237488
66,90.44041442871094,0.0050878445617854595,0.005737080238759518,0.10095817595720291,21308,,,
67,,,,,21309,1.442096471786499,3.130152940750122,0.6528007388114929
68,90.24674987792969,0.015096996910870075,0.0127042131498456,0.118098683655262,21408,,,
