,stabilizer.roll,stabilizer.pitch,stabilizer.yaw,stateEstimate.x,stateEstimate.y,stateEstimate.z,time,stateEstimate.vx,stateEstimate.vy,stateEstimate.vz,stateEstimate.qx,stateEstimate.qy,stateEstimate.qz,stateEstimate.qw,controller.r_pitch,controller.r_roll,controller.r_yaw
0,-0.8688521981239319,0.08934593200683594,89.9085922241211,1.3609598875045776,0.36838841438293457,0.23458856344223022,20425,,,,,,,,,,
1,,,,,,,20426,-0.010314187966287136,-0.08781411498785019,0.0007469790289178491,,,,,,,
2,,,,,,,20428,,,,-0.004860238637775183,-0.0058835819363594055,0.7065157294273376,0.7076548337936401,,,
3,,,,,,,20430,,,,,,,,0.003008746774867177,-0.00038022693479433656,0.0004337370046414435
4,-0.8766177296638489,0.077858567237854,89.9096908569336,1.3601008653640747,0.3680415153503418,0.23371312022209167,20525,,,,,,,,,,
5,,,,,,,20526,-0.012373527511954308,-0.08728241175413132,0.0004173259949311614,,,,,,,
6,,,,,,,20528,,,,-0.005002815276384354,-0.005847332067787647,0.7065221667289734,0.7076477408409119,,,
7,,,,,,,20530,,,,,,,,-0.001652352511882782,0.0011837795609608293,-0.0013552658492699265
8,-0.8758740425109863,0.05611761286854744,89.90938568115234,1.359776258468628,0.36973118782043457,0.23147757351398468,20625,,,,,,,,,,
9,,,,,,,20626,-0.013472366146743298,-0.08339478075504303,-0.0020743990316987038,,,,,,,
10,,,,,,,20628,,,,-0.005152735393494368,-0.005697143729776144,0.7065210342407227,0.7076489329338074,,,
11,,,,,,,20630,,,,,,,,0.00011526644811965525,0.00038782108458690345,0.0016765585169196129
12,-0.8948524594306946,0.024301493540406227,89.91130828857422,1.3552134037017822,0.373363196849823,0.22908787429332733,20725,,,,,,,,,,
13,,,,,,,20726,-0.02114195190370083,-0.0780668705701828,-0.003787900786846876,,,,,,,
14,,,,,,,20728,,,,-0.005376214627176523,-0.005667571444064379,0.7065358757972717,0.7076327204704285,,,
15,,,,,,,20730,,,,,,,,0.0002468176244292408,0.0013481387868523598,0.00701963109895587
16,-0.8973286747932434,0.008736522868275642,89.79412841796875,1.355064034461975,0.37879759073257446,0.2259218990802765,20825,,,,,,,,,,
17,,,,,,,20826,-0.03453681245446205,-0.06293418258428574,-0.005940529052168131,,,,,,,
18,,,,,,,20828,,,,-0.005507238209247589,-0.005478058476001024,0.7054735422134399,0.7086923718452454,,,
19,,,,,,,20830,,,,,,,,-0.06491713970899582,-0.07055731862783432,-0.057017091661691666
20,0.1136757954955101,-0.08039164543151855,89.72765350341797,1.3519577980041504,0.3800549805164337,0.22463451325893402,20926,,,,,,,,,,
21,,,,,,,20926,-0.04518390819430351,-0.05408168211579323,0.03773656114935875,,,,,,,
22,,,,,,,20928,,,,0.0051615480333566666,0.005165460519492626,0.7057681083679199,0.7084038257598877,,,
23,,,,,,,20930,,,,,,,,0.16736534237861633,1.6459983587265015,0.14110152423381805
24,4.153144836425781,0.4537312090396881,90.5599365234375,1.3418502807617188,0.38648903369903564,0.21846866607666016,21025,,,,,,,,,,
25,,,,,,,21026,0.01389285083860159,-0.04471168294548988,0.14318998157978058,,,,,,,
26,,,,,,,21028,,,,0.027937034144997597,0.02024458721280098,0.7107095718383789,0.7026375532150269,,,
27,,,,,,,21030,,,,,,,,0.42498788237571716,-0.35490500926971436,0.1444145143032074
28,3.5822951793670654,2.16365909576416,91.14070892333984,1.3565038442611694,0.3612295687198639,0.2293282449245453,21125,,,,,,,,,,
29,,,,,,,21126,0.0866638571023941,-0.09307683259248734,0.2122255116701126,,,,,,,
30,,,,,,,21128,,,,0.035450469702482224,0.008149182423949242,0.7142839431762695,0.6989086866378784,,,
31,,,,,,,21130,,,,,,,,0.03198005259037018,-0.0873873382806778,0.06140616908669472
32,2.8543670177459717,1.4197365045547485,91.62810516357422,1.3816765546798706,0.344404399394989,0.24931079149246216,21225,,,,,,,,,,
33,,,,,,,21226,0.16630421578884125,-0.13409839570522308,0.24275687336921692,,,,,,,
34,,,,,,,21228,,,,0.025007376447319984,0.008417065255343914,0.7173604369163513,0.6962010264396667,,,
35,,,,,,,21230,,,,,,,,-0.013624666258692741,-0.3089408576488495,0.08142252266407013
36,0.8777108192443848,1.031292200088501,91.836669921875,1.4271128177642822,0.33150869607925415,0.29025840759277344,21325,,,,,,,,,,
37,,,,,,,21326,0.2296656370162964,-0.15241536498069763,0.2277035266160965,,,,,,,
38,,,,,,,21328,,,,0.008017705753445625,-0.0016780904261395335,0.7184649109840393,0.6955135464668274,,,
39,,,,,,,21330,,,,,,,,-0.3668450713157654,-0.6394464373588562,0.025746403262019157
40,-1.438704490661621,-0.441606342792511,91.97679138183594,1.4512722492218018,0.32169514894485474,0.29770150780677795,21425,,,,,,,,,,
41,,,,,,,21426,0.22386914491653442,-0.15175887942314148,0.18985047936439514,,,,,,,
42,,,,,,,21428,,,,-0.013151678256690502,-0.006808960810303688,0.7193377614021301,0.6945011019706726,,,
43,,,,,,,21430,,,,,,,,-0.14490823447704315,-0.3176114857196808,0.04781289026141167
44,-3.0762181282043457,-0.7039391398429871,92.19275665283203,1.4823670387268066,0.32550665736198425,0.3336784243583679,21525,,,,,,,,,,
45,,,,,,,21526,0.19758349657058716,-0.11962530016899109,0.18227370083332062,,,,,,,
46,,,,,,,21528,,,,-0.023959489539265633,-0.015408284030854702,0.7204299569129944,0.6929410696029663,,,
47,,,,,,,21530,,,,,,,,-0.08909811079502106,-0.15380370616912842,0.027281666174530983
